Date,Symbol,Open,High,Low,Close,Volume
2000-01-03,ASIANPAINT,370.0,390.0,370.0,381.65,3318
2000-01-03,BAJAUTOFIN,49.45,50.75,46.5,50.75,7600
2000-01-03,BPCL,405.0,407.0,393.05,399.25,8720
2000-01-03,BRITANNIA,705.0,759.5,705.0,756.9,7512
2000-01-03,CIPLA,1410.0,1457.35,1380.05,1457.35,21060
2000-01-03,DRREDDY,1505.0,1508.25,1505.0,1508.25,13280
2000-01-03,EICHERMOT,48.0,48.85,48.0,48.85,4100
2000-01-03,GAIL,65.0,70.0,65.0,68.7,76055
2000-01-03,GRASIM,429.9,438.3,425.0,438.3,101578
2000-01-03,HDFC,293.5,293.5,293.5,293.5,22744
2000-01-03,HDFCBANK,166.0,170.0,166.0,170.0,33259
2000-01-03,HEROHONDA,1200.0,1236.8,1171.0,1207.6,10631
2000-01-03,HINDALC0,851.0,878.5,851.0,867.45,33799
2000-01-03,HINDLEVER,2300.0,2307.55,2300.0,2307.55,24903
2000-01-03,ICICIBANK,74.35,74.75,71.4,74.75,286260
2000-01-03,INDUSINDBK,28.9,28.95,28.0,28.95,107224
2000-01-03,INFOSYSTCH,15625.0,15625.2,15625.0,15625.2,5137
2000-01-03,IOC,260.0,273.25,250.0,270.85,23700
2000-01-03,ITC,694.0,708.5,675.0,708.5,562715
2000-01-03,KOTAKMAH,220.0,229.35,220.0,229.35,7086
2000-01-03,M&M,453.3,453.35,448.9,453.35,67195
2000-01-03,ONGC,205.0,214.4,205.0,213.45,9600
2000-01-03,RELIANCE,237.5,251.7,237.5,251.7,4456424
2000-01-03,SBIN,236.0,243.65,234.25,243.65,2373228
2000-01-03,SESAGOA,111.0,116.35,108.0,116.35,20371
2000-01-03,SHREECEM,68.0,68.0,63.05,64.75,30530
2000-01-03,SUNPHARMA,1800.0,1835.05,1760.0,1835.05,3024
2000-01-03,TELCO,207.4,217.25,207.4,216.75,676126
2000-01-03,TISCO,148.0,153.2,146.1,152.45,2003185
2000-01-03,TITAN,146.0,156.45,146.0,155.7,23000
2000-01-03,UTIBANK,26.7,26.7,26.7,26.7,112100
