trade_id,company,sector,trade_date,open_price,close_price,high_price,low_price,volume
1,Apple,Technology,2026-01-01,185,190,192,183,120000
2,Microsoft,Technology,2026-01-01,410,415,418,408,90000
3,Amazon,Ecommerce,2026-01-01,170,168,172,166,75000
4,Tesla,Automobile,2026-01-01,250,255,260,248,110000
5,Nvidia,Technology,2026-01-01,480,490,495,475,150000
6,Google,Technology,2026-01-02,140,142,145,138,80000
7,Meta,Technology,2026-01-02,370,365,375,360,60000
8,Netflix,Entertainment,2026-01-02,450,455,460,448,50000
9,Intel,Technology,2026-01-02,45,46,47,44,70000
10,IBM,Technology,2026-01-02,160,158,162,157,40000
11,Apple,Technology,2026-01-03,190,195,198,189,130000
12,Microsoft,Technology,2026-01-03,415,420,425,413,95000
13,Amazon,Ecommerce,2026-01-03,168,172,173,167,78000
14,Tesla,Automobile,2026-01-03,255,250,258,249,115000
15,Nvidia,Technology,2026-01-03,490,500,505,488,160000
16,Google,Technology,2026-01-04,142,145,147,141,85000
17,Meta,Technology,2026-01-04,365,370,372,364,65000
18,Netflix,Entertainment,2026-01-04,455,450,458,449,52000
19,Intel,Technology,2026-01-04,46,48,49,45,72000
20,IBM,Technology,2026-01-04,158,160,161,156,43000
21,Apple,Technology,2026-01-05,195,193,196,191,125000
22,Microsoft,Technology,2026-01-05,420,425,428,418,98000
23,Amazon,Ecommerce,2026-01-05,172,175,176,171,81000
24,Tesla,Automobile,2026-01-05,250,260,265,249,120000
25,Nvidia,Technology,2026-01-05,500,510,515,498,170000
26,Google,Technology,2026-01-06,145,148,150,144,88000
27,Meta,Technology,2026-01-06,370,375,378,369,67000
28,Netflix,Entertainment,2026-01-06,450,460,462,448,55000
29,Intel,Technology,2026-01-06,48,47,49,46,75000
30,IBM,Technology,2026-01-06,160,162,164,159,45000
31,Apple,Technology,2026-01-07,193,198,200,192,135000
32,Microsoft,Technology,2026-01-07,425,430,432,423,100000
33,Amazon,Ecommerce,2026-01-07,175,178,180,174,85000
34,Tesla,Automobile,2026-01-07,260,265,268,258,125000
35,Nvidia,Technology,2026-01-07,510,520,525,508,175000
36,Google,Technology,2026-01-08,148,150,152,147,90000
37,Meta,Technology,2026-01-08,375,380,382,374,70000
38,Netflix,Entertainment,2026-01-08,460,465,468,458,58000
39,Intel,Technology,2026-01-08,47,50,51,46,78000
40,IBM,Technology,2026-01-08,162,165,166,161,47000
41,Apple,Technology,2026-01-09,198,200,202,197,140000
42,Microsoft,Technology,2026-01-09,430,435,438,428,105000
43,Amazon,Ecommerce,2026-01-09,178,180,182,177,90000
44,Tesla,Automobile,2026-01-09,265,270,272,263,130000
45,Nvidia,Technology,2026-01-09,520,530,535,518,180000
46,Google,Technology,2026-01-10,150,152,154,149,92000
47,Meta,Technology,2026-01-10,380,385,388,379,72000
48,Netflix,Entertainment,2026-01-10,465,470,472,463,60000
49,Intel,Technology,2026-01-10,50,52,53,49,80000
50,IBM,Technology,2026-01-10,165,168,170,164,50000
