TradeID,CustomerID,CustomerName,Stock,TransactionType,Quantity,Price,TradeDate,Broker
1,C121,Customer24,RELIANCE,SELL,52,1311,2025-01-11,Groww
2,C101,Customer4,HDFCBANK,SELL,83,2109,2025-06-16,Zerodha
3,C101,Customer19,INFY,BUY,48,922,2025-03-18,Groww
4,C121,Customer24,RELIANCE,BUY,92,2080,2025-02-03,Zerodha
5,C118,Customer16,HDFCBANK,BUY,84,2606,2025-05-04,Zerodha
6,C108,Customer18,INFY,SELL,35,1672,2025-03-23,Groww
7,C107,Customer22,RELIANCE,BUY,2,2164,2025-05-09,Groww
8,C111,Customer17,INFY,SELL,64,1829,2025-04-15,Upstox
9,C117,Customer21,RELIANCE,BUY,80,3662,2025-02-24,Zerodha
10,C101,Customer20,ICICI,BUY,56,1234,2025-01-21,Groww
11,C123,Customer3,HDFCBANK,BUY,100,3763,2025-02-25,Groww
12,C120,Customer25,HDFCBANK,SELL,6,668,2025-05-30,Groww
13,C124,Customer18,ICICI,SELL,93,2826,2025-04-23,Groww
14,C110,Customer17,INFY,BUY,65,2010,2025-01-09,Groww
15,C117,Customer13,TCS,BUY,30,2564,2025-04-01,Zerodha
16,C104,Customer24,HDFCBANK,BUY,17,3020,2025-03-27,Zerodha
17,C109,Customer8,TCS,SELL,99,2899,2025-03-27,Zerodha
18,C113,Customer23,TCS,BUY,21,777,2025-04-24,Groww
19,C108,Customer13,INFY,SELL,49,1788,2025-05-21,Upstox
20,C113,Customer6,INFY,SELL,94,2510,2025-02-17,Zerodha
21,C124,Customer1,TCS,SELL,81,2684,2025-03-21,Upstox
22,C114,Customer17,ICICI,BUY,67,1184,2025-02-04,Zerodha
23,C121,Customer25,INFY,SELL,58,1317,2025-06-04,Zerodha
24,C115,Customer25,HDFCBANK,BUY,12,2032,2025-05-24,Zerodha
25,C123,Customer16,TCS,SELL,77,3064,2025-02-09,Groww
26,C119,Customer18,TCS,SELL,87,3688,2025-06-17,Upstox
27,C124,Customer25,ICICI,BUY,16,3243,2025-05-06,Zerodha
