ticker,trader_id,date,price,quantity,transaction_type
AAPL,T001,2023-01-15,145.50,100,BUY
AAPL,T001,2023-02-20,150.00,50,BUY
AAPL,T001,2023-06-10,165.00,80,SELL
AAPL,T002,2023-03-05,148.75,200,BUY
AAPL,T002,2023-07-22,170.00,200,SELL
AAPL,T003,2023-04-10,152.00,300,BUY
AAPL,T003,2023-08-15,172.50,300,SELL
MSFT,T001,2023-01-20,240.00,50,BUY
MSFT,T001,2023-05-15,260.00,50,SELL
MSFT,T002,2023-02-14,245.00,100,BUY
MSFT,T002,2023-06-20,270.00,100,SELL
MSFT,T003,2023-03-22,250.00,75,BUY
MSFT,T003,2023-07-10,275.00,75,SELL
GOOG,T001,2023-01-10,85.00,200,BUY
GOOG,T001,2023-04-25,95.00,200,SELL
GOOG,T002,2023-02-08,87.50,150,BUY
GOOG,T002,2023-05-30,98.00,150,SELL
GOOG,T003,2023-03-15,90.00,100,BUY
GOOG,T003,2023-06-20,100.00,100,SELL
TSLA,T001,2023-01-05,180.00,30,BUY
TSLA,T001,2023-03-20,200.00,30,SELL
TSLA,T002,2023-02-01,185.00,50,BUY
TSLA,T002,2023-04-15,210.00,50,SELL
TSLA,T003,2023-02-28,190.00,40,BUY
TSLA,T003,2023-05-10,215.00,40,SELL
AMZN,T001,2023-01-12,120.00,60,BUY
AMZN,T001,2023-04-10,140.00,60,SELL
AMZN,T002,2023-02-05,125.00,80,BUY
AMZN,T002,2023-05-20,145.00,80,SELL
AMZN,T003,2023-03-10,130.00,100,BUY
AMZN,T003,2023-06-15,150.00,100,SELL
NVDA,T001,2023-01-20,140.00,20,BUY
NVDA,T001,2023-03-15,180.00,20,SELL
NVDA,T002,2023-02-10,150.00,35,BUY
NVDA,T002,2023-04-25,200.00,35,SELL
NVDA,T003,2023-02-20,155.00,40,BUY
NVDA,T003,2023-05-15,210.00,40,SELL
META,T001,2023-01-08,110.00,40,BUY
META,T001,2023-03-25,145.00,40,SELL
META,T002,2023-02-12,115.00,60,BUY
META,T002,2023-04-20,150.00,60,SELL
META,T003,2023-03-01,120.00,50,BUY
META,T003,2023-05-25,155.00,50,SELL
AAPL,T001,2024-01-10,165.00,120,BUY
AAPL,T001,2024-03-20,175.00,120,SELL
AAPL,T002,2024-01-15,168.00,100,BUY
AAPL,T002,2024-04-10,180.00,100,SELL
AAPL,T003,2024-02-05,170.00,150,BUY
AAPL,T003,2024-05-15,185.00,150,SELL
MSFT,T001,2024-01-12,275.00,40,BUY
MSFT,T001,2024-03-15,290.00,40,SELL
MSFT,T002,2024-02-10,280.00,60,BUY
MSFT,T002,2024-04-20,300.00,60,SELL
MSFT,T003,2024-02-20,285.00,50,BUY
MSFT,T003,2024-05-10,310.00,50,SELL
GOOG,T001,2024-01-08,95.00,150,BUY
GOOG,T001,2024-03-22,110.00,150,SELL
GOOG,T002,2024-01-20,98.00,100,BUY
GOOG,T002,2024-04-15,115.00,100,SELL
GOOG,T003,2024-02-14,100.00,120,BUY
GOOG,T003,2024-05-20,120.00,120,SELL
TSLA,T001,2024-01-05,240.00,25,BUY
TSLA,T001,2024-03-10,260.00,25,SELL
TSLA,T002,2024-01-25,245.00,35,BUY
TSLA,T002,2024-04-05,275.00,35,SELL
TSLA,T003,2024-02-08,250.00,30,BUY
TSLA,T003,2024-05-15,280.00,30,SELL
